L 11/24/2020 - 08:04:46: Log file started (file "cstrike/addons/amxmodx/logs/antireklama.log") (game "cstrike") (amx "1.9.0.5271")
L 11/24/2020 - 08:04:46: Nick: Server321 | ID: STEAM_1:0:1198259211 | IP: 185.126.130.52 | Country: error | вот мой сервак 85.119.149.109:35415
L 11/24/2020 - 08:05:27: Nick: Server321 | ID: STEAM_1:0:1198259211 | IP: 185.126.130.52 | Country: error | 85.119.149.109:35415
L 11/24/2020 - 16:14:23: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | наааа 33333333333333333333333333333333333333
L 11/25/2020 - 12:12:55: Nick: Zveruga | ID: STEAM_1:0:948512310 | IP: 188.170.253.207 | Country: error | 55555555555555555555
L 11/25/2020 - 19:36:32: Nick: DIMON OMON | ID: STEAM_1:0:1367729720 | IP: 91.217.5.235 | Country: error | 22222222222222222222222222
L 11/26/2020 - 12:08:22: Nick: artemka888 | ID: STEAM_1:0:1288359075 | IP: 31.132.123.18 | Country: error | 111111111111111111
L 11/28/2020 - 10:33:49: Nick: DIMON OMON | ID: STEAM_1:0:1367729720 | IP: 91.217.5.235 | Country: error | 7777777777777777777777
L 11/28/2020 - 11:47:19: Nick: P I K N I K | ID: STEAM_1:0:1138770822 | IP: 145.255.1.235 | Country: error | 55555555555555555
L 11/28/2020 - 15:34:36: Nick: JUKG | ID: STEAM_1:0:675115236 | IP: 46.42.250.105 | Country: error | 100000000000000000000000000000000000000 пельмешек
L 11/28/2020 - 19:03:18: Nick: T^T | ID: STEAM_1:0:564142814 | IP: 147.30.134.157 | Country: error | имрмырункмерпр11111111111111ц1111
L 11/28/2020 - 19:03:29: Nick: ВИКА | ID: STEAM_1:0:577511071 | IP: 5.153.136.229 | Country: error | 100000000000000000000 ВОТ СКОКА ФД СТОИТ
L 11/28/2020 - 19:03:42: Nick: ВИКА | ID: STEAM_1:0:577511071 | IP: 5.153.136.229 | Country: error | ВОТ СКОКА ФД СТОИТ 100000000000000000000000
L 11/28/2020 - 19:03:55: Nick: ВИКА | ID: STEAM_1:0:577511071 | IP: 5.153.136.229 | Country: error | ВОТ СКОКА ФД СТОИТ 100000000000000000
L 11/28/2020 - 19:09:14: Nick: ВИКА | ID: STEAM_1:0:577511071 | IP: 5.153.136.229 | Country: error | ГО2222222222222
L 11/28/2020 - 19:59:06: Nick: ext1nger | ID: STEAM_1:0:844771107 | IP: 5.16.124.43 | Country: error | 61234иипр     лллллллллллллллллллллллллли мо б 1223334
L 11/28/2020 - 21:04:01: Nick: Devl1 | ID: STEAM_1:0:66674238 | IP: 176.101.230.74 | Country: error | на 10000000000000000000000000000000недель
L 11/28/2020 - 23:55:56: Nick: BEZBASHUY | ID: STEAM_1:0:464555138 | IP: 185.210.87.65 | Country: error | 69,636363636363
L 11/29/2020 - 12:10:04: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 195.218.183.146 | Country: error | 6666666666 магазин 66666666666666666
L 11/29/2020 - 16:08:21: Nick: Deporte | ID: STEAM_1:0:1678381437 | IP: 45.151.237.36 | Country: error | 8888888888888
L 11/29/2020 - 16:27:18: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.85 | Country: error | 1111111111111 все
L 11/29/2020 - 16:47:07: Nick: ! | ID: STEAM_1:0:583430775 | IP: 178.90.13.69 | Country: error | 6666666666666666666666666
L 11/29/2020 - 17:32:25: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.85 | Country: error | 333333333333333333333333333333
L 11/29/2020 - 17:33:07: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.85 | Country: error | 4444444444444444444444
L 11/29/2020 - 19:53:50: Nick: Nesquik | ID: STEAM_1:0:201390745 | IP: 212.119.233.85 | Country: error | 8888888888888
L 11/29/2020 - 22:07:04: Nick: Deporte | ID: STEAM_1:0:1678381437 | IP: 45.151.237.36 | Country: error | 6666666666666
