| Nesquik                       | adfghilpqrst | 14:51:38       | 14:54:46         | 00:03:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 14:53:07       | 14:56:49         | 00:03:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 14:58:49       | 15:00:06         | 00:01:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklpqrst | 14:56:40       | 15:00:06         | 00:04:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 14:55:51       | 15:00:06         | 00:04:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 14:51:28       | 15:00:06         | 00:08:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:00:20       | 15:05:06         | 00:04:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 15:08:38       | 15:11:51         | 00:03:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:11:37       | 15:20:48         | 00:09:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklpqrst | 15:00:32       | 15:23:22         | 00:23:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 15:00:11       | 15:23:22         | 00:23:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 15:00:13       | 15:23:22         | 00:23:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:22:11       | 15:23:22         | 00:01:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 15:23:28       | 15:32:36         | 00:09:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 15:29:54       | 15:41:12         | 00:11:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklpqrst | 15:24:26       | 15:41:12         | 00:17:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 15:23:29       | 15:41:12         | 00:17:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:23:33       | 15:41:12         | 00:17:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 15:41:18       | 15:50:57         | 00:09:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:41:21       | 15:51:19         | 00:10:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 15:51:02       | 15:51:40         | 00:00:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 15:41:19       | 15:53:40         | 00:12:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 15:41:59       | 15:53:40         | 00:12:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklnpqrst | 15:59:03       | 16:01:07         | 00:02:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 15:54:15       | 16:05:14         | 00:11:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 15:53:48       | 16:12:41         | 00:18:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:27:43       | 16:29:14         | 00:01:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqrst | 16:29:50       | 16:32:42         | 00:03:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 16:29:51       | 16:32:54         | 00:05:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:34:29       | 16:35:06         | 00:00:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklnopqrstu | 16:35:09       | 16:35:31         | 00:00:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklmopqrstu | 16:35:34       | 16:36:55         | 00:01:23             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:36:58       | 16:42:08         | 00:05:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:42:11       | 16:42:40         | 00:00:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:42:44       | 16:50:36         | 00:07:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:52:53       | 16:58:00         | 00:05:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 16:33:05       | 16:58:00         | 00:24:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 16:58:09       | 16:58:29         | 00:00:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 17:02:51       | 17:09:22         | 00:07:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ExZtAzZ                       | adfghiklnpqrst | 17:31:09       | 17:32:40         | 00:01:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| z1ba228                       | diqrst | 17:51:52       | 17:53:24         | 00:01:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 16:58:10       | 17:59:15         | 01:01:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 17:59:18       | 18:06:09         | 00:06:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 17:46:23       | 18:12:26         | 00:26:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 18:12:35       | 18:12:46         | 00:00:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:08:42       | 18:18:37         | 00:10:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Devl1                       | adfghiklpqrst | 18:06:15       | 18:19:03         | 00:12:50             |
